"id","insert_time","accuracy","alt","alt_accuracy","heading","lat","lng","measurement_time","speed","trip_id"
27675,2023-08-29 07:30:52.687,4.768383077241513,14.274005988612771,3.3297236914593387,,53.591222239328076,10.055921271420818,2023-08-29 07:30:51.024,0.06256990631154156,14164
27674,2023-08-29 07:30:51.253,4.769802799403502,13.578223397023976,3.32768963210083,,53.59121774133319,10.055907884377,2023-08-29 07:30:50.024,0.21299602932010483,14164
27673,2023-08-29 07:30:49.718,4.769703647135558,12.33199012838304,3.3278317492461342,53.675043292536316,53.591211319749235,10.05590001993851,2023-08-29 07:30:49.024,0.5336192268145639,14164
27672,2023-08-29 07:30:49.718,4.775824275211825,11.488655087538064,3.3190419589222255,109.13046478429352,53.59120858191499,10.055891535991341,2023-08-29 07:30:48.024,1.4072352318672512,14164
27671,2023-08-29 07:30:48.286,4.7848133620731454,10.977506536990404,3.3060698908091943,122.05143456165088,53.59122778103934,10.055866330619512,2023-08-29 07:30:47.024,1.7848624242291664,14164
27670,2023-08-29 07:30:48.285,4.7863947336524095,10.659109000116587,3.303780029973745,133.5596902981954,53.59125985069724,10.055817610901615,2023-08-29 07:30:46.024,1.3841216254061033,14164
27669,2023-08-29 07:30:46.748,4.789587170209787,11.194929970428348,3.2991501590183248,185.4379990773007,53.59128904347483,10.055769912362042,2023-08-29 07:30:45.024,0.8094588290025884,14164
27668,2023-08-29 07:30:46.748,4.7936955711086195,11.412526530213654,3.2931777668875455,100.4165949607681,53.591308463340596,10.055762769437916,2023-08-29 07:30:44.024,1.1089921875301831,14164
27667,2023-08-29 07:30:44.803,4.797374510390651,11.594893786124885,3.287816120138547,117.64003720795195,53.59132609989966,10.055717416059279,2023-08-29 07:30:43.024,2.210939439537433,14164
27666,2023-08-29 07:30:42.755,4.792626488700641,12.31701637711376,3.2947334296713287,124.93042015725192,53.591349700877245,10.055674983900667,2023-08-29 07:30:42.024,3.069562787804496,14164
27665,2023-08-29 07:30:42.755,4.786790809397167,12.081061583943665,3.3032061364467777,126.25517860251327,53.591377990529914,10.05563055188962,2023-08-29 07:30:41.024,4.393149604493607,14164
27664,2023-08-29 07:30:41.321,4.786349220807045,11.567975459620357,3.3038459663350874,124.67900812136364,53.59141307823576,10.05556913228008,2023-08-29 07:30:40.024,3.960152461043425,14164
27663,2023-08-29 07:30:39.786,4.790958389656166,11.865412804298103,3.297158586021005,131.16241364531584,53.59144071353891,10.05551460601895,2023-08-29 07:30:39.024,5.108906462586522,14164
27662,2023-08-29 07:30:39.785,4.792251940914439,12.206456084735692,3.2952781927464976,124.68405066469859,53.591492006296775,10.055443596506114,2023-08-29 07:30:38.024,3.707713080788617,14164
27661,2023-08-29 07:30:38.354,4.788981369601906,12.221303306519985,3.300029465685827,129.20490803828272,53.59151640281899,10.055395156832596,2023-08-29 07:30:37.024,4.707031196676953,14164
27660,2023-08-29 07:30:36.918,4.785715214166856,12.501231574453413,3.3047642762655123,122.12567399454484,53.591552771228024,10.055337698160185,2023-08-29 07:30:36.024,4.648070961078512,14164
27659,2023-08-29 07:30:36.917,4.7800913922828885,12.76836085319519,3.31289349575441,124.35562721418134,53.591586304155925,10.055266639279937,2023-08-29 07:30:35.024,3.6741187028669047,14164
27658,2023-08-29 07:30:35.485,4.780551689890476,13.381316190585494,3.3122292452476993,129.3788593612499,53.59161508828597,10.055219737214806,2023-08-29 07:30:34.024,4.215249399955991,14164
27657,2023-08-29 07:30:33.947,4.772520678618929,13.90741619747132,3.3237905176084053,122.85592261592969,53.59165043009051,10.05517211865157,2023-08-29 07:30:33.024,4.69392345937923,14164
27656,2023-08-29 07:30:33.947,4.764297560618332,14.241450329311192,3.33556678642102,125.43688963615908,53.59167756579879,10.055099536002487,2023-08-29 07:30:32.024,4.538426004027824,14164
27655,2023-08-29 07:30:32.411,4.768656351946461,14.074444285593927,3.3293323099128296,130.65374367433515,53.59170169998985,10.055022929417659,2023-08-29 07:30:31.024,4.495254365613134,14164
27654,2023-08-29 07:30:30.875,4.766818504595146,13.328834981657565,3.331963141608582,127.64533996582031,53.59175606402899,10.05497721169991,2023-08-29 07:30:30.024,3.6970726169058903,14164
27653,2023-08-29 07:30:30.874,4.766030567324542,13.206304772756994,3.333090107410379,127.80934143066406,53.591768234824805,10.054906174901083,2023-08-29 07:30:29.024,3.6784232418689378,14164
27652,2023-08-29 07:30:29.442,4.772464669135901,12.842312272638083,3.3238709383245313,127.80934143066406,53.59180897854736,10.05486226653102,2023-08-29 07:30:28.024,2.9982014536532295,14164
27651,2023-08-29 07:30:27.905,4.774775912831959,12.770493158139288,3.3205499567132803,127.80934143066406,53.59184001237534,10.054795040955296,2023-08-29 07:30:27.024,2.122377741159149,14164
27650,2023-08-29 07:30:27.905,4.776565321083878,13.117541580460966,3.3179754016881597,127.80934143066406,53.591863561158966,10.054744029562698,2023-08-29 07:30:26.024,0.9932648457627035,14164
27649,2023-08-29 07:30:26.370,4.776814237279911,13.861585373990238,3.317617032646894,127.80934143066406,53.591875854240705,10.054717400310452,2023-08-29 07:30:25.024,0.8122347505363331,14164
27648,2023-08-29 07:30:26.369,4.776600459703658,14.277536721900105,3.317924815475424,127.80934143066406,53.5918898628543,10.054687054828468,2023-08-29 07:30:24.024,0.6227241843289875,14164
27647,2023-08-29 07:30:24.424,4.774140262452659,14.77647706400603,3.321463801882733,127.860595703125,53.59189522108947,10.054676240692443,2023-08-29 07:30:23.024,0.2498079632205632,14164
